Date	Open	High	Low	Close	Adj Close	Volume
17/04/09	77	80.599998	74.800003	75.400002	70.435692	2538755
20/04/09	75.800003	77.800003	75.199997	75.760002	70.771988	1310245
21/04/09	74.599998	76.68	74	75.919998	70.92144	1186580
22/04/09	76.489998	80	76.25	77.360001	72.266647	3122725
23/04/09	78.940002	80.379997	75	78.309998	73.154099	2400665
24/04/09	78.440002	83.940002	78.199997	80.699997	75.386749	6069835
27/04/09	80.529999	82.379997	77.5	77.940002	72.808464	2684800
28/04/09	78.400002	79.059998	73.110001	73.900002	69.034462	1299665
29/04/09	75	78.419998	74.699997	77.75	72.630959	1737030
30/04/09	77.75	77.75	77.75	77.75	72.630959	0
04/05/09	78.400002	81.779999	78.269997	81.059998	75.723045	2346715
05/05/09	80.400002	85.559998	80.400002	82.110001	76.703896	3172165
06/05/09	82.760002	84.419998	79.239998	80.269997	74.985062	1592145
07/05/09	80.199997	82.900002	80.199997	82.389999	76.965469	1400675
08/05/09	81.599998	85.68	81.25	82.639999	77.199013	2572590
11/05/09	83.400002	84.599998	79.599998	80.690002	75.377419	1552905
12/05/09	81	82.449997	78.239998	81.629997	76.255508	2402700
13/05/09	80.260002	90.32	80.260002	87.720001	81.944527	7058345
14/05/09	80.199997	93.400002	72.449997	92.389999	86.307076	6401610
15/05/09	92.839996	97.099998	92.839996	94.349998	88.138016	4831275
18/05/09	99.980003	113.199997	99.980003	104.669998	97.778557	61830
19/05/09	120	120	90.25	105.75	98.78746	4739615
20/05/09	107.580002	114.139999	105.400002	107.300003	100.235413	6424115
21/05/09	106.400002	115.239998	106.400002	111.82	104.457817	5535565
22/05/09	111.82	113.550003	108	109.260002	102.06636	1823790
25/05/09	110.239998	123.139999	110	119.959999	112.061859	7456625
26/05/09	121.480003	125.370003	114.25	115.25	107.661987	4614125
27/05/09	118.220001	119.599998	116.669998	117.940002	110.174866	1282830
28/05/09	118.879997	118.980003	116.300003	117.699997	109.950668	977865
29/05/09	118.199997	129.800003	118.199997	122.239998	114.191765	4723135
01/06/09	124.900002	131.800003	124.019997	130.229996	121.655685	4107615
02/06/09	132.399994	132.759995	122.510002	125.800003	117.51738	2127755
03/06/09	127	129.639999	116.199997	120.190002	112.276733	3195210
04/06/09	119.400002	124.800003	118.099998	124.050003	115.882599	1730245
05/06/09	126	127.599998	124.199997	125.330002	117.078331	1853450
